# name	disposition	source_sha256
# source-revision: f1c8dbdf387595ae5505e8ef0090c05fd595aa70
# Pinned exact runnable/porcelain/deferred disposition per Charb port.
# Regenerated by scripts/gen-charb-transcripts.py — do not hand-edit casually.
kernel-grammar-diagnostics	runnable	4698daad996db31e9ec89363025417c4a25592d2eed51ed705278b7bb2f2b88a
kernel-introspection	runnable	37daefa99bb1455dbf28f7c9cd9e82b8c2db4e7315ce46fc286ac800cfebd95b
key-sbom-capability-registry	porcelain	c974742e62fbbf4c57f7357da3736e31c4a7e8652f99a7c5d41c80684702568b
language-composition	runnable	863455ddbb54ef96b1ac0be6980132302bf0e24d482c14ec85c518fe1983c927
language-registry	runnable	bd882bccfff67b86119768beeb6f0f71cb631ba453bc769b99aeb19d041b5cbc
malformed-generated-commands	runnable	6b9d08dcbe4d9a6155b8ae86a4c8ec681d12605175227a20fa6f4d9ed5c8427e
malformed-namespace-commands	runnable	06632420898f8b99e21bf676ad6636532ae8663237b1bd7d6ac75ebccb20f936
manifest-registry	runnable	e0c0c0074c5fb33bb7f622cd78c29c1f2805779335a1f194580d4e36f88e88f9
mirror-registry	porcelain	b304491fdd78759090e9a07d0d09f2633dd29d3402d07f8ff0db1a96b16e72a0
multi-language-matrix	runnable	587c988f50a9571444240ec86ccd03931497f9a0523b576adf9a7d9b658ba390
network-mempool-phase3	deferred	2f977865b0402999c28aa9c0a8876ceff0c47831db411a685665dce56728ac74
object-run-commit-registry	porcelain	eb7f3e98793f272603c79cc527443089755093de35d4e7864877f5c139724cf8
patch-conflict-merge	runnable	bbbb5a94f5c9ca91e0f42d10873f292838ec44273861c857a48ee93ddb0dc11a
patch-registry	runnable	007a13dba04fc5fd43eeefde494ebc5cde6538dff792a10e01e1339ddeadfcca
pi-core-descriptor	runnable	98a126f589b41f7ec4bb47b2a0e4aebc2297398abc74553651cfbf31f5548d19
provenance-registry	runnable	031f2b8430938cffafa1077df37836f8cb59077fb033f57cec272303de6c77e2
publish-registry	runnable	72560c59271297715519b0632f43be30db07b1e820ce712ea3cc15c064b5307d
recovery-suggestions	porcelain	5bc004e1edfd0e9383376520e678c82864cd44cecba25598a9be5cc91b7b4376
repl	runnable	fa92d3c52ff4c66228a8fe11a0dbdd977f89e6f5102b6ff7635efce66b45905a
repl-status-export	runnable	f171d9da4035255ee38da9033de642f791e2a9c5784292d809172c718d941804
replay-history	runnable	9841e82e849e0a895e3eea7d653ca06695916b812d4b5cad2196048ae204e194
replay-history-diff	porcelain	3c89d66a7eb48dae701877327e8d26752854e1fca770757b90a101225eb13370
replay-history-switch-and-diff	porcelain	f76db5e5095a36180006d1c6792505c23bb28effade11a4951e38b3151588c24
